2024-05-10 09:10:38.616 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 118 ms. Found 5 JPA repository interfaces.
2024-05-10 09:10:40.491 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 3000 (http)
2024-05-10 09:10:40.516 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2024-05-10 09:10:40.522 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-10 09:10:40.523 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-10 09:10:40.783 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-10 09:10:40.788 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3736 ms
2024-05-10 09:10:41.236 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-10 09:10:41.349 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-10 09:10:41.428 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-10 09:10:41.897 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-10 09:10:41.952 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-10 09:10:42.416 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@14ff066d
2024-05-10 09:10:42.421 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-10 09:10:43.768 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-10 09:10:43.893 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-10 09:10:44.641 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-10 09:10:47.288 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-10 09:10:47.348 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2024-05-10 09:10:47.376 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 3000 (http) with context path ''
2024-05-10 09:10:47.391 [restartedMain] INFO  c.e.p.e.EscuelasProjectApplication - Started EscuelasProjectApplication in 10.986 seconds (process running for 11.652)
2024-05-10 09:10:47.595 [http-nio-3000-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-10 09:10:47.596 [http-nio-3000-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-10 09:10:47.598 [http-nio-3000-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-10 09:10:49.155 [http-nio-3000-exec-7] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 959 ms
2024-05-10 09:15:13.730 [http-nio-3000-exec-10] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /
2024-05-10 09:15:13.732 [http-nio-3000-exec-10] WARN  o.s.web.servlet.PageNotFound - No endpoint GET /.
2024-05-10 09:15:17.235 [http-nio-3000-exec-8] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /actuator/openapi
2024-05-10 09:15:17.236 [http-nio-3000-exec-8] WARN  o.s.web.servlet.PageNotFound - No endpoint GET /actuator/openapi.
2024-05-10 09:15:21.505 [http-nio-3000-exec-7] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /actuator
